Address_Hex,Address_Dec,Name,Active,Status
0x0753,1875,Ausgang 0x0753,False,Inactive
0x0754,1876,Ausgang 0x0754,False,Inactive
0x0755,1877,Ausgang 0x0755,False,Inactive
0x0756,1878,Ausgang 0x0756,False,Inactive
0x0757,1879,Ausgang 0x0757,False,Inactive
0x0758,1880,Ausgang 0x0758,False,Inactive
0x0759,1881,Ausgang 0x0759,False,Inactive
0x075A,1882,Ausgang 0x075A,False,Inactive
0x075B,1883,Ausgang 0x075B,False,Inactive
0x075C,1884,Ausgang 0x075C,False,Inactive
0x075D,1885,Ausgang 0x075D,False,Inactive
0x075E,1886,Ausgang 0x075E,False,Inactive
0x075F,1887,Ausgang 0x075F,False,Inactive
0x0760,1888,Ausgang 0x0760,False,Inactive
0x0761,1889,Ausgang 0x0761,False,Inactive
0x0762,1890,Ausgang 0x0762,False,Inactive
0x0763,1891,Ausgang 0x0763,False,Inactive
0x0764,1892,Ausgang 0x0764,False,Inactive
0x0765,1893,Ausgang 0x0765,False,Inactive
0x0766,1894,Ausgang 0x0766,False,Inactive
0x0767,1895,Ausgang 0x0767,False,Inactive
0x0768,1896,Ausgang 0x0768,False,Inactive
0x0769,1897,Ausgang 0x0769,False,Inactive
0x076A,1898,Ausgang 0x076A,False,Inactive
0x076B,1899,Ausgang 0x076B,False,Inactive
0x076C,1900,Ausgang 0x076C,False,Inactive
0x076D,1901,Ausgang 0x076D,False,Inactive
0x076E,1902,Ausgang 0x076E,False,Inactive
0x076F,1903,Ausgang 0x076F,False,Inactive
0x0770,1904,Ausgang 0x0770,False,Inactive
0x0771,1905,Ausgang 0x0771,False,Inactive
0x0772,1906,Ausgang 0x0772,False,Inactive
0x0773,1907,Ausgang 0x0773,False,Inactive
0x0774,1908,Ausgang 0x0774,False,Inactive
0x0775,1909,Ausgang 0x0775,False,Inactive
0x0776,1910,Ausgang 0x0776,False,Inactive
0x0777,1911,Ausgang 0x0777,False,Inactive
